Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J0C0A1,49048,Saint-Germain-de-Grantham,M,04171,Drummond,100,
J0C0A2,49075,Notre-Dame-du-Bon-Conseil,VL,04171,Drummond,100,
J0C0A3,49040,Wickham,M,04171,Drummond,100,
J0C0A4,50030,Saint-Célestin,VL,04161,Nicolet-Yamaska,100,
J0C0A5,49113,Saint-Guillaume,M,04171,Drummond,100,
J0C0A6,49085,Sainte-Brigitte-des-Saults,P,04171,Drummond,100,
J0C0A7,49105,Saint-Eugène,M,04171,Drummond,100,
J0C0A8,50042,Saint-Léonard-d'Aston,M,04161,Nicolet-Yamaska,100,
J0C0A9,49030,Saint-Lucien,M,04171,Drummond,100,
J0C0B1,50050,Sainte-Perpétue,P,04161,Nicolet-Yamaska,100,
J0C0B2,49030,Saint-Lucien,M,04171,Drummond,100,
J0C0B3,49125,Saint-Bonaventure,M,04171,Drummond,100,
J0C1A0,39117,Sainte-Clotilde-de-Horton,M,04181,Arthabaska,1,
J0C1A0,49080,Notre-Dame-du-Bon-Conseil,P,04171,Drummond,99,
J0C1A0,49075,Notre-Dame-du-Bon-Conseil,VL,04171,Drummond,99,
J0C1B0,49025,L'Avenir,M,04171,Drummond,100,
J0C1C0,49125,Saint-Bonaventure,M,04171,Drummond,100,
J0C1E0,49085,Sainte-Brigitte-des-Saults,P,04171,Drummond,100,
J0C1G0,50035,Saint-Célestin,M,04161,Nicolet-Yamaska,100,
J0C1G0,50030,Saint-Célestin,VL,04161,Nicolet-Yamaska,100,
J0C1H0,49070,Saint-Cyrille-de-Wendover,M,04171,Drummond,100,
J0C1H0,49030,Saint-Lucien,M,04171,Drummond,100,
J0C1H0,49058,Drummondville,V,04171,Drummond,100,
J0C1J0,49105,Saint-Eugène,M,04171,Drummond,100,
J0C1K0,49048,Saint-Germain-de-Grantham,M,04171,Drummond,100,
J0C1K0,49100,Saint-Edmond-de-Grantham,P,04171,Drummond,100,
J0C1L0,49113,Saint-Guillaume,M,04171,Drummond,100,
J0C1L0,49100,Saint-Edmond-de-Grantham,P,04171,Drummond,100,
J0C1M0,50042,Saint-Léonard-d'Aston,M,04161,Nicolet-Yamaska,100,
J0C1N0,49030,Saint-Lucien,M,04171,Drummond,100,
J0C1P0,49058,Drummondville,V,04171,Drummond,100,
J0C1R0,50050,Sainte-Perpétue,P,04161,Nicolet-Yamaska,100,
J0C1S0,49040,Wickham,M,04171,Drummond,100,
